Service Domain,Business Area,Business Domain,functionalPattern,assetType,genericArtefactType,Examples Of Use,Role Definition
Direct Debits Service,Products,Corporate Banking,Fulfill,Direct Debits Service,Facility,,"The Direct Debits Service Service Domain manages the operational details of a Direct Debits Service agreement between the bank and a corporate customer (creditor). Once established, it is used to verify if direct debit instructions received from the creditor are covered by the agreement. It also provides details for charging of the handling of direct debit instructions. The Direct Debits Service Service Domain only provides services at the creditor bank."
Factoring,Products,Corporate Banking,Fulfill,Factoring,Facility,The Bank buys (factors) a batch of a corporate's customer invoices at a suitable discount to provide short term liquidity to the corporate. The bank processes the subsequent customer payments,A bank offers factoring services to buy a customers' accounts receivable at a discount to provide short term liquidity. The bank will subsequently process the accounts receivable to recover purchase costs. In cases the bank may factor portions of the accounts receivable to a specialist third party
Letter of Credit,Products,Trade Banking,Transact,Letter Of Credit,Transaction,A bank issues an LC to a corporate customer to enable them to make a large purchase from an overseas supplier,Orchestrate the pricing and issuance of Letters of Credit to bank customers guaranteeing their ability to pay sellers for goods that are to be delivered at some future date. Letters of Credit are mostly used to facilitate international trade. They can be single transaction or revolving and can also be transferable and so traded (this Service Domain only covers the issuance and processing of  the LoC)
Limit and Exposure Management,Finance And Risk Management,Market Risk,Manage,Limit And Exposure,Management Plan,Product fulfillment activity triggers limit and exposure checks,Oversee corporate limits and exposures for the combined business activity
Notional Pooling,Products,Corporate Banking,Fulfill,Notional Pooling,Facility,"A (corporate) customer with multiple subsidiaries has establishes notional pooling to simplify cash management and minimize its interest expense by fully off-setting credit and debit positions across the company. 
This enables the subsidiaries to manage their cash position while the company can avoid transferring funds and the tax implications of arranging intercompany loans.
Notional pooling allows a corporate with many accounts, often held by subsidiaries, to pool the balances to obtain a single centralized liquidity position. ","Notional pooling is a mechanism for calculating interest on the combined credit and debit balances of accounts that a corporate customer chooses to cluster together, without actually transferring any funds between the accounts. It allows obtaining a single centralized liquidity position. This enables the subsidiaries to manage their cash position while the company can avoid transferring funds and the tax implications of arranging intercompany loans. Interest income and charges are calculated and distributed periodically in proportion to the local account balances. More advanced pooling arrangements may support multiple currencies"
Project Finance,Products,Corporate Banking,Fulfill,Project Finance,Facility,A major government infrastructure development initiative uses project financing in order to attract private sector investment,Provide project financing facilities and associated services. Project finance is an arrangement where the repayment of the loan relies primarily on the project's generated cash flow. As a result the project's assets and rights may be held as secondary collateral to the loan. Project financing may use a special purpose vehicle (SPV) to handle the debt and enable sponsors to keep the debt off their own balance sheets
Syndicated Loan,Products,Loans and Deposits,Fulfill,Syndicated Loan,Facility,"Example of use:
A major corporate customer obtains a syndicated loan to finance a major project and the bank arranges to distribute the loan with several other interested banks to share the loan exposure","This service domain fulfills a syndicated loan, including the coordination with syndicate members and clarification/administration of their obligations under the arrangement. It is assumed the bank is acting as the syndicate lead in this arrangement, coordinating with other lending banks in the syndicate in order to manage the transfer of funds. The syndicated loan can be for a single amount or be implemented as a more general loan facility that the customer can draw upon over its term. Note that initial customer offer processing may have covered many of these tasks informally, but once the syndicated loan initiation is made more formal syndicate arrangements must be established as an aspect of fulfillment handled here"
Credit Risk Operations,Products,Market Operations,Monitor,Trading Credit Position,State,A trading desk checks a proposed trade against trading counterparty credit limits,This Service Domain monitors the counterparty credit limits  (CCL) used to govern trading activity to manage credit exposure. Note there may be regulatory requirements that determine allowed CCLs.
Dealer Desk,Products,Market Trading,Operate,Dealer Desk,Operating Session,The bank operates a forex dealing desk. A handful of trader positions access the desk to support the banks principal and agency forex trading needs. The desk maintains the trading P&L for the bank's principle forex positions to support trading decisions ,"Operate a dealer desk/workbench that may combine one or more physical trading seats/positions. The facility oversees market information feeds and displays and consolidate trading activity of the individual traders making up the desk. Dealer Desks can trade as principle or agent for the bank's customers and trade in instruments such as forex/MM, equities, commodities, derivatives and other financial assets. In addition to dealer desks that support agency and principle trading, desks may be organized to support other specialist activities such as the sales desk and market risk desk that specifically monitors the bank's market positions."
ECM And DCM,Products,Corporate Finance,Fulfill,ECM And DCM,Facility,A corporate customer raises capital through issuing corporate debt in the private capital markets,"The service domain provides fulfillment services for the issuance of primary market equity and debt capital market instruments for corporate customers. It supports both private and public (IPO) placements and covers the specification, pricing and placement activities associated with issuance. (it does not include secondary market trading of the instrument)"
Market Making,Products,Market Trading,Fulfill,Market Making,Facility,A financial institution acts as the market maker for a number of market assets/securities. Buy and sell trades are automatically captured and the pricing adjusted to maintain a limited net position by influencing buy/sell decisions,Market making ensures liquidity in the markets as the market maker provides a buy/sell quote (typically in coordination with the exchange) for the security and guarantees that they will accept orders. The market maker will adjust the quote to manage their position and generates profit from the margin between buy and sell prices.
Market Order,Products,Market Trading,Transact,Market Order,Transaction,"A customer decides to sell shares from his or her investment account. The customer issues a sell order and a market order is created with the status pending. A block is put on the seller's investment account for the amount of shares in the order. Market Order places the order and waits for a confirmation of execution.
Once the bank is informed on successful execution, the status of the market order is changed to executed and the Service Connection ""Execute Securities Transaction"" on Market Order Execution is invoked. Market Order Execution will in turn call Securities Position Keeping to realise the sale in numbers of shares on the involved accounts.","Market Order records an instruction from a customer or his or her representative (which could be an account manager in the bank) to buy or sell securities. It follows the order during its lifetime and reports back to the requestor on the execution.
In case of a sell order it puts a block on the investment account when the order is placed. This block will be removed when the order is executed or when it expires.
A market order may be broken into multiple market trades or combined with other market orders for a block trade at the bank's discretion"
Market Order Execution,Products,Market Trading,Transact,Market Trade,Transaction,"A customer decides to sell shares from his or her investment account. The customer issues a sell order and a Market Order is created with the status pending. Market Order will instruct Securities Position Keeping to put a block on the seller's investment account for the amount of shares in the order. Up to this point Market Order Execution is not involved.
Once the bank is informed on successful execution, the status is changed to executed and the Service Connection ""Execute Securities Transaction"" on Market Order Execution is invoked. Market Order Execution will in turn call Securities Position Keeping to realise the sale in numbers of shares on the involved accounts and remove the block from the seller's investment account.
NB In the case of a buy order a block will be put on the buyer's investment-related cash account. Removal of this block will be handled by the related money transaction.","The Market Order Execution Service Domain is responsible for the booking of securities transactions (e.g. resulting from market orders or some types of corporate actions) on investment accounts, so in terms of security name plus quantity. Market Order Execution knows the different transaction types and the related booking sets. It will call Securities Position Keeping to create the debit and the credit bookings of a transaction. It will ensure that the bookings of a securities transaction are executed completely or not at all (the latter in the case of an exception).
The execution of a market order may be in parts (trades) or it may be combined with other market orders for a block trade. The Service Connection ""Execute Market Order"" on this Service Domain handles the execution of (an undivided part of) one Market Order.
A securities transaction will have a related money transaction. This will be handled by Payment Order - Payment Execution."
Program Trading,Products,Market Trading,Operate,Program Trading,Operating Session,A bank operates a program trading facility to rebalance some of its managed customer investment portfolios,"Program trading covers a broad range of market trading activities, where the trading rules policies driving the trading decisions are automated, likely with some level of human monitoring/oversight as appropriate. This generic Service Domain is intended to support any form of program trading. In practice a bank may find it necessary to 'clone and specialize' the service domain to support different type of program trading it may employ as necessary."
Quote Management,Products,Market Trading,Process,Quotation,Procedure,A trader obtains quotes from multiple market makers prior to executing an agency trade for a corporate investor customer,Quote management handles the process by which a trader obtains quotes from multiple market makers in order to select the bank to execute a trade with. Recent trade prices reported to the exchange can be compared with trade activity for the different quoting banks in order to make the selection
Suitability Checking,Products,Market Trading,Assess,Suitability,Assessment,An investment manager confirms that a proposed investment meets suitability requirements for the customer,Confirm that all involved counterparties are suitable for a proposed market trade. The checks address regulatory requirements to ensure involved parties are suitably qualified/knowledgeable to participate in the type of trading activity (e.g. in the US suitability is defined by FINRA Rule 2111)
Trader Position Operations,Products,Market Trading,Operate,Traded Position,Operating Session,A trader of a dealer desk  is assigned a specific set of security positions to trade with associated trading guidelines and limits,"Traded Position Management facilitates the trading of one or more selected securities by one or more appointed traders acting within a trading book 'team'. It enables the allocation of trading responsibilities and limits/constraints to individual traders acting within the group. The trading position includes facilities to enable the individual trader to monitor market opportunities, perform back testing, obtain quotes and for deal capture. A deal blotter records the dealer P&L during the trading session. The facility may also provide access to various securities valuation, market analysis and trading sensitivity/simulation tools."
Trading Book Oversight,Products,Market Operations,Manage,Trading Position,Management Plan,Trading book oversight reviews recent trading activity to confirm activity remains within the banks trading risk tolerance,The bank's trading book tracks the securities held by the bank that are frequently traded and may implement sophisticated risk measures to manage the banks exposure. Trading book oversight is responsible for tracking and analyzing the bank's trading book to manage risk
Trading Models,Business Development,Models And Analytics,Design,Trading Model,Specification,Automated trading activity is initiated,Manage the development and deployment of trading models to support automatic executions
Contractor and Supplier Agreement,Operations,External Agency,Agree Terms,Supplier,Agreement,The contractual arrangements with an established contractor/service provider are reviewed at year end,Maintain and administer master and project/task specific contractor/supplier legal agreements. Confirm on-going compliance as necessary
Correspondent Bank Directory,Operations,Clearing And Settlement,Catalog,Correspondent Bank,Directory Entry,Correspondent bank (reciprocal) activity is consolidated to support periodic correspondent banking relationship reviews,This service domain maintains reference details specific to a correspondent banking partner covering payment terms and preferences and security keys. It also consolidates transactional activity as might be needed to track reciprocity with the correspondent bank. Any specific arrangements and terms (e.g. SSIs) that might override market directory details are maintained here as part of the data record.
Correspondent Bank Relationship Management,Operations,External Agency,Manage,Correpondent Bank Relationship,Management Plan,A bank establishes and maintains a correspondent relationship for international payments and trade finance representation in a foreign country,"Handle the negotiation, development and tracking of reciprocity with correspondent bank relationships"
Information Provider Administration,Business Development,Channel Management,Agree Terms,Information Feed,Agreement,A bank subscribes to a real time market feed and administers the distribution to entitled employees,Administer the information feed configuration and service agreement with the commercial information providers including subscription and service payment authorization activities
Interbank Relationship Management,Operations,External Agency,Manage,Bank Relationship,Management Plan,"A partner bank is contacted to review a major project opportunity

The interbank relationship management function is used to coordinate contacts for a joint venture marketing opportunity between the banks
","This function handles managed interbank relationships. The are a range of relationship considerations that may apply between banks covering trading arrangements, joint ventures, clearing and settlement arrangements etc. The Interbank Relationship Management function acts as a relationship planning and coordination point to facilitate interbank interactions"
Product Broker Agreement,Operations,External Agency,Agree Terms,Broker,Agreement,A monthly assessment is made of the performance of a broker against service levels and projected business volumes,"This service domain administers the contractual, operational and financial aspects of the relationship with a 3rd party product or service provider. Note that other service domains handle different aspects of broker relations such as relationship management, commissions, billing and payments and operational support"
Product Service Agency,Operations,External Agency,Agree Terms,Service Provider,Agreement,The contractual arrangements with an established specialist service provider are reviewed at year end,Maintain contractual and service agreements with transaction related service providers (e.g. legal/tax advisors)
Service Provider Operations,Operations,External Agency,Operate,Service Provider Registration,Operating Session,The bank acting as a third party provider (TPP) connects to another banks acting as an account servicing payment service provider (ASPSP) in order to refresh an Access Token,Service Provider Operations handles operational interactions with an external service provider. Most exchanges will be automated. The range of possible interactions can be quite extensive as might be needed to address the different types of external service collaboration and supporting actions required. In as far as possible generic actions are defined that might be adjusted in implementation for different service providers and operational environments.
Sub Custodian Agreement,Operations,External Agency,Agree Terms,Sub Custodian,Agreement,The contractual terms are referenced during the settlement procedure for a securities trade where the sub custodian holds the associated documentation,Maintain sub custodian agreement terms and track and report on sub custodian activity. Note the lead custodian role may engage a sub custodian for handling international securities outside its jurisdiction
Syndicate Management,Operations,External Agency,Enroll,Syndicate,Membership,A major project funding initiative assembles a syndicate of investors,Manage the membership and administration of syndicates in compliance with the agreed syndicate charter and operating agreements. The combines the application of eligibility requirements to establish membership and the subsequent ensuring of compliance with performance obligations defined under the membership
Counterparty Administration,Operations,Clearing And Settlement,Catalog,Counterparty,Directory Entry,Back office clearing and settlement references the counterparty details to assemble a funds transfer as part of an equity trade using the counterparty details to generate the associated SWIFT based payment exchange,"Maintain and provide access to the counterparty reference details to support trading/payment activity. This includes SWIFT addresses, standard settlement instructions that are published. The data is typically acquired using a market feed for the default values, but the facility can support the maintenance of specific details and instructions that apply to the counterparty relationship overriding the public default"
Financial Instrument Reference Data Management,Channels,Information Providers,Catalog,Financial Instrument,Directory Entry,A corporate financial advisory project references different instrument specifications when assembling a structured financial approach to the customer financing needs,Maintain a central reference directory of market traded asset/instrument details. The details are typically captured from one or more specialist market feeds that publish market asset/instrument details. It can include the result of internal reference data processing
Financial Market Analysis,Channels,Information Providers,Analyze,Financial Market,Analysis,"Example of use:
A competitor financial pricing analysis is requested for a company issuing corporate paper",Analyze available sources of internal and external financial market information and research to develop insights and opinions on any aspect of financial market activity and pricing
Financial Market Research,Channels,Information Providers,Catalog,Financial Market Research,Directory Entry,An investment portfolio manager obtains financial market research to support portfolio rebalancing decisions,Consolidate financial market information from a variety of sources and optionally organize the consolidated information to align to different topics or categories for subsequent selection and analysis (see Financial Market Analysis)
Information Provider Operation,Channels,Information Providers,Operate,Information Feed,Operating Session,A trader has subscribed to and references market price feeds at their trading desk,Operate the interface for importing data feeds from commercial information providers and internal broadcast pages
Location Data Management,Customers,Party Reference,Catalog,Location,Directory Entry,A new prospect provides an address as their place of residence. It is checked to be a valid/known location for residential use.,"The maintenance of location details is used to check the validity, allowed use and occupancy of locations - both physical and virtual. This information can be augmented using external directory services when appropriate. The information is used for authentication and security purposes, and can also be used for interactive location based sales and marketing when combined with location tracking services/capabilities"
Market Data Switch Administration,Business Development,Channel Management,Administer,Information Feed Switch,Administrative Plan,A new employee is provided with the standard access to information feed at their trading desk,Administer the internal information distribution 'switch' with external and external market information feeds and associated employee access rights. Note this can include 'brokering' information access on a first come first serve basis for limited active user number feed services
Market Data Switch Operation,Channels,Information Providers,Operate,Information Feed Switch,Operating Session,"Example of use:
A bank trader request access to a market data feed at their dealing position during a trading session",This facility handles the real-time operation of the market information dissemination switch that is typically used to support trading and investment functions. It references the access entitlement to services for users maintained by the Market Data Switch Administration service domain (there can be complex rules governing access to various feeds). The dissemination mechanism/switch may support composite pages of data and interactive service requests. It may also support internally published information such as bank rates defined by the bank's treasury unit
Market Information Management,Channels,Information Providers,Administer,Financial Market Information,Administrative Plan,The bank consolidates multiple sources of private company merger and acquisition activity in order to maintain a view of private company players in a target sector,"Consolidate market information from multiple sources and in any suitable media/format in order to build a bank financial market knowledge-base. The service domain activities include maintaining, refining, qualifying/verifying and presenting information in order to improve the quality of the available market intelligence within the bank"
Public Reference Data Management,Channels,Information Providers,Design,Global Standard,Specification,"Example of use:
The international ISO standard definitions are maintained and applied across production systems of the bank","This service domain maintains and provides structured access to standard 'global' reference data and definitions associated with market activity such as currency, country and segment identifiers. These values will typically be externally sourced using market information feeds and distributed using whatever is the appropriate mechanism within the bank"
Quant Model,Business Development,Models And Analytics,Design,Quant Model,Specification,A investment manager uses quant models to evaluate a portfolio's holdings and determine an appropriate trading strategy in response to some impactful market event,Develop and maintain a portfolio of quantitative analysis (quant) models that can be applied in different contexts across the business.
Legal Entity Directory,Customers,Party Reference,Catalog,Legal Entity,Directory Entry,Party legal entity details are checked for the financial booking of a major loan,"Maintain the legal entity structure including ownership, subsidiaries and partnership details"
Party Routing Profile,Channels,Cross Channel,Monitor,Party,State,The identity and active status of a customer is checked as they present themselves on-line to access their bank account,"The customer profile service domain is used to tune the customer experience during any real-time interaction with the bank. A collection of status indicators, ratings and alerts can be maintained that are then used to influence the routing and servicing decisions that govern the customer interaction. For example a status indicator could include a warning that the account is in distress which would limit sales activity and might result in routing a contact to a specialist account recovery servicing facility."
Discount Pricing,Business Development,Product Management,Assess,Productand Service Discount,Assessment,A short term discount (waived fees) is put in place for a product at selected university campus locations as part of an effort to attract new student customers,Maintain a current price list (with ranges and optional terms) by product/customer type for exceptional pricing conditions that override standard pricing as would be derived from the standard product specification
Product Deployment,Business Development,Product Management,Develop,Productand Service Deployment,Development,An enhancement to an established product is rolled out across the enterprise,"Plan and administer the deployment activities for new and enhanced products and services, includes employee training, product inventory and solution deployment and coordination with systems production release, IT platform operations, production fulfillment staffing, customer servicing, marketing and sales activities"
Product Design,Business Development,Product Management,Design,Product and Service,Specification,Product management identifies an opportunity to amend key features of a product to target a market segment,"Design and refine bank product and service specifications. This addresses multiple aspects including the core product specification definition, legal, tax and regulatory compliance, pricing, risk and performance assessments, testing and supporting systems and production requirements definition"
Product Directory,Business Development,Product Management,Catalog,Product,Directory Entry,"A customer accesses the product directory to obtain product feature descriptions, eligibility and pricing guidelines",The product directory service domain provides a central service to reference product specifications and related details. The broad range of specification information available includes: product feature descriptions; pricing and eligibility requirements used in sales and on-boarding; servicing support and guidelines; and operational and production requirements
Product Quality Assurance,Business Development,Product Management,Assess,Product and Service,Assessment,"Example of use:
Quality assurance tests are applied to evaluate a newly released product processing to determine whether error and issue rates are acceptable and support root cause analysis","The service domain maintain and execute a portfolio of product quality assurance tests and if appropriate certifications to apply to new and updated production applications. These tests can be applied to any specific aspects of product sales, servicing and fulfillment as might be appropriate"
Product Training,Business Development,Product Management,Process,Product Training,Procedure,"Example of use:
A training program is developed and rolled out covering the servicing of an updated product for the customer servicing teams","This service domain handles the development and delivery of product specific training across the workforce to schedule and as a requested service. This includes the use of all appropriate media and training mechanisms (on-line, self taught, classroom etc.)"
Special Pricing Conditions,Customers,Sales,Catalog,Special Pricing Conditions,Directory Entry,"Example of use:
The bank suspends certain product fees during a major brand awareness campaign",This service domain allows the bank to apply special pricing terms and conditions that override standard price calculations. These override facilities are to be used in specific situations where a bank level decision is taken to amend prices or pricing terms in response to some major event or business development action
Asset And Liability Management,Business Management,Business Direction,Direct,Asset And Liability Portfolio,Strategy,The bank's senior policy makers review that bank's book performance and amend guidelines to remain within policy directives,A central policy and direction capability that reviews consolidated bank P&L profile and performance and defines and directs asset and liability policies. Also sanctions and/or influences large transactions
Asset Securitization,Finance And Risk Management,Group Treasury,Transact,Asset Securitization,Transaction,"Example of use:
A bank schedules a review of its loan book in order to improve its portfolio and/or raise capital by securitizing selected assets","This service domain supports the bank's selection, securitization and sale of bank customer loan assets. This may be undertaken to adjust the make-up of the loan portfolio or to raise funds to support the bank's operations. The process includes the selection, packaging, pricing and placement of the loan assets"
Bank Portfolio Administration,Finance And Risk Management,Group Treasury,Administer,Asset And Liability Portfolio,Administrative Plan,The consolidated view of bank activity covering its asset and liability activity is assembled and ratified for analysis,"Consolidate, ratify, correct and present timely transaction information to support the analysis of the bank's consolidated 'book of business'"
Bank Portfolio Analysis,Finance And Risk Management,Group Treasury,Analyze,Asset And Liability Portfolio,Analysis,A financial analysis of the bank's consolidated activity is assembled for consideration by the bank's asset and liability policy unit,Define and maintain a broad collection of analytical views and ad-hoc analyses into the consolidated book of business for the enterprise. Develop and refine analyses in response to events and detected trends
Corporate Treasury,Finance And Risk Management,Group Treasury,Manage,Corporate Treasury,Management Plan,The Bank Treasury consolidates trading and lending activity across its corporate clients to develop timely views of current positions and maturity projections,This service domain manages and administers the consolidation of transaction details and summaries in order to derive and report on the array of consolidated positions managed by Treasury. This includes the assembly of related maturity ladders (cash flow projections) and managing tactical and strategic funding activity for the bank. It is also responsible for tracking prevailing market conditions and determining the various bank rates that should be applied throughout the bank
Corporate Treasury Analysis,Finance And Risk Management,Group Treasury,Analyze,Corporate Treasury,Analysis,The Bank Treasury tracks the bank's consolidated liquidity position and initiates trading activity to remain within prudential limits,Track the consolidated treasury positions for the Bank (includes liquidity and capital adequacy) and initiate interbank and market trades and hedging as needed to remain within desired boundaries
Stock Lending and Repos,Products,Market Trading,Transact,Repo,Transaction,A bank handles a government securities repo transaction between two customers to enable the 'borrowing' customer to meet their short term capital needs,"Stock lending and repos (repurchase agreements) support the tri-party repo where the bank conducts the transactions with both the seller and buyer of the securities protecting both their interests (ensuring cash is transferred and the security delivered as agreed) to support the short term purchase/loan transaction. Term and open repos can be supported, the latter involving more complex credit considerations."
Branch Portfolio,Business Development,Channel Management,Analyze,Branch Network,Analysis,Business strategists assemble and review the distribution and relative product performance across the network and adjust the allocation accordingly,Evaluate coverage and relative performance of branches. Optimize product allocation and marketing activity across the available branch network.
Channel Portfolio,Business Development,Channel Management,Analyze,Channel Portfolio,Analysis,Product designers review the performance of products over different channels and channel combinations to refine product designs and delivery,Evaluate the coverage and relative performance of different channels with respect to the blend of service and product activity. Optimize channel use to minimize costs and enhance customer experience
Competitor Analysis,Business Development,Marketing And Development,Analyze,Competitor,Analysis,A product design unit obtains competitor analysis in order to refine product requirements,This service domain provides the range of competitor analysis that inform and support product and service design and business development activities and decisions. It draws on external market research and internal business intelligence gathering as necessary. A standard set of analytical views can be defined and maintained as well as targeted ad-hoc analysis as necessary
Contribution Analysis,Business Development,Marketing And Development,Analyze,Contribution,Analysis,"Business development managers used contribution analysis to identify underperforming products/customers where additional business could be generated through increased sales, usage or pricing",Execute contribution analysis across customer/product activity to expose business development opportunities
Customer Portfolio,Business Development,Marketing And Development,Analyze,Customer Segment,Analysis,Business development review customer segment performance in order to target customer relationship management priorities,Maintain a portfolio of view of the customer base with key customer data and consolidated activity details to support profitability and performance analysis across many possible customer segment dimensions
Market Analysis,Business Development,Marketing And Development,Analyze,General Market Research,Analysis,"Example of use:
External market research is used to develop competitor analysis for bank products as input to a prospect campaign development",This service domain supports the broad range of market analysis needed to support business management decisions across the bank. It draws on external market research and internally generated business information as necessary. It is used to develop insights into market trends and potential opportunities/threats. It may also be used to evaluate key events that might impact the bank's business directly or that of important customers and customer segments. A standard set of analytical views can be defined that are maintained. Furthermore the service domain may provide ad-hoc/customized analysis services
Market Research,Business Development,Marketing And Development,Catalog,General Market Research,Directory Entry,A market research department handles the access and consolidation and classification of market research,"This service domain supports general market research for a wide range of uses and sources - including customer and competitor activity and related market assessments. It can combine subscribing to and consolidating market research with supporting on-line/interactive access to market news sources (general, not financial market). A more sophisticated implementation will support specific market information requests and the consolidation of gathered intelligence"
Product Portfolio,Business Development,Product Management,Analyze,Product Portfolio,Analysis,"Business development review product performance in order to target product design,  marketing, sales, pricing and delivery priorities",Maintain a portfolio of view of the bank's products with key product performance data and consolidated activity details to support profitability and performance analysis across the product portfolio
Segment Direction,Business Development,Marketing And Development,Direct,Segment,Strategy,Corporate direction notifies segment leadership of changed goals and priorities that impact their activity,"Define, implement, track and assess the business performance goals for defined market segments. This perspective supports a particular organizational structure where enterprise strategies and plans are aligned to market segments (often in addition to product divisions)"
Business Risk Models,Finance And Risk Management,Operational Risk,Design,Business Operation Risk Model,Specification,Financial engineers develop and deploy a collection of business risk models that can run against different failure scenarios to assess exposure and determine mitigation needs,Develop and maintain models that assess commercial/business exposures
Contribution Models,Business Development,Models And Analytics,Design,Contribution Model,Specification,"Financial engineers evaluate the relative business performance of customers and products to identify patterns that highlight business development opportunities from increased sales, usage activity and/or pricing",Develop and refine contribution models to detect underdeveloped business relationships and other opportunities
Credit and Margin Management,Finance And Risk Management,Market Risk,Direct,Credit And Margins,Strategy,Senior policy makers interpret the financial and risk strategies of the bank to determine specific credit and margin rules and policies,Determine and refine credit and margin directives and policies to reflect the overall risk/reward appetite of the organization and govern credit decisioning
Credit Risk Models,Business Development,Models And Analytics,Design,Credit Risk Model,Specification,"Example of Use:
A credit model is used to analyze product activity in order to refine then banks credit assessment of a customer","This service domain handles the development, maintenance and continual assessment and refinement of the collection of credit models that are deployed across the bank. This includes individual credit assessments and more complex analyses for merchants and companies/corporations. The models are used to derive credit scoring and support more involved credit analysis/insight development"
Customer Behavior Models,Business Development,Models And Analytics,Design,Customer Behavior Model,Specification,A customer 'propensity to buy model' algorithm is updated to take account of additional transaction utilization data that is available,"This service domain handles the development, maintenance and continual assessment and refinement of the collection of customer behavior models that are deployed across the bank. This includes more general analyses for sales, operational behavior, relationship development and specific behaviors such as credit and fraud detection. Customer can cover consumer, corporate and merchant behavior for some behavioral models/scanners"
Economic Capital,Finance And Risk Management,Market Risk,Analyze,Economic Capital,Analysis,Financial engineers define and apply models that consolidate the overall risk exposure for the bank to determine a complete estimate of exposure,"Develop, maintain and apply models that combine the overall risk over different risk types to determine the consolidated risk position for the bank"
Financial Instrument Valuation Models,Business Development,Models And Analytics,Design,Market Asset Valuation Model,Specification,Financial engineers assess the coverage and currency of the portfolio of valuation models and update certain models accordingly,"Develop and maintain a portfolio of valuation models considering currency, interest rate, instrument quotes, indices, commodity prices and other market, liquidity and credit risk factors. Support the use of these models in trading and pricing activity"
Fraud Model,Business Development,Models And Analytics,Design,Fraud Model,Specification,"A customer ""fraudulent card use' algorithm is updated to take account of additional transaction utilization data that is available","Analyze history of transactions and fraud cases  to discern fraud patterns and develop Rule sets, Decision Trees, and Machine Learning/Predictive models to identify out of pattern transactions or events and their fraud risk score. Support the use of these models and rules in different production contexts and refine the models in response to new and changing patterns"
Gap Analysis,Finance And Risk Management,Market Risk,Analyze,interest Rate Gap Risk,Analysis,A risk management unit/group treasury assembles and maintains the currency and interest rate maturity ladders for the trading function,"Maintain and track projected consolidated cash flows to support evaluation and management of currency and interest rate risk positions, the bank's overall dispositive liquidity risk"
Liquidity Risk Models,Business Development,Models And Analytics,Design,Liquidity Risk Model,Specification,Financial engineers develop and refine liquidity risk management models,"Develop and maintain models for dispositive and structural liquidity risk management, including liquidity gap analysis, Liquidity at Risk (LaR) and Liquidity Value at Risk (LVaR)."
Market Risk Models,Business Development,Models And Analytics,Design,Market Risk Model,Specification,Financial engineers assess the coverage and currency of the portfolio of market risk models and update certain models accordingly,"Develop and maintain a portfolio of market risk models including currency, interest rate, instrument quotes, indices, commodity prices and other market and macro-economic risk factors. Support the use of these models in trading and pricing activity"
Operational Risk Models,Finance And Risk Management,Operational Risk,Design,Opertional Risk Model,Specification,Financial engineers evaluate the history of operational breaches and issues to determine how well existing operational risk models cover the detection of exposures,
Production Risk Models,Finance And Risk Management,Operational Risk,Design,Production Risk Model,Specification,Financial engineers respond to an analysis of production issues and develop/refine their production risk models to better detect the root cause,Develop and refine production risk models to detect possible exposures to procedural failures
Compliance Reporting,Finance And Risk Management,Compliance,Administer,Compliance Reporting,Administrative Plan,"Example of use:
The financial accounting procedures for a back office function are audited","This service domain schedules, consolidates information and reports on internal audit and compliance activity across the bank"
Financial Statement Assessment,Operations,Accounting Services,Assess,Financial Statement,Assessment,A bank performs a scheduled assessment of a borrowers' financial statements to ratify their loan quality rating,"The Financial Statement Assessment Service Domain supports a broad range of calculations and assessments that can be applied to financial reports that can be submitted from various sources including customer organizations and business units. The assessment can derive many insights including projected values of assets and liabilities, project cash flows and liquidity, determine risk profiles and sensitivity to different market conditions."
Fraud Resolution,Finance And Risk Management,Credit Risk,Process,Fraud Resolution,Procedure,A pattern of possible fraud is highlighted in transaction records that is researched and evidence of fraud discovered. Prosecution/resolution activity is initiated,"Setup and update Fraud Case and handle investigation and resolution steps, which may involve initiating containment actions, obtaining documentation, performing forensic investigation and actions, determining liability, initiating resolution actions such as reversals and financial adjustments, subscribing and publishing to Consortia, determining root cause and initiating corrective/preventive actions. The Fraud Case may be opened by Product/Channel Facility,  Fraud Diagnosis or by Customer Case."
